id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109548334,Оператор видеонаблюдения (Служба Безопасности),,,,Алматы,Алматы,43.24949,76.934622,https://hh.ru/employer/655332,Специалист службы безопасности
109548323,Снабженец,250000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/9540907,Менеджер по закупкам
109548264,"Продавец-консультант ECCO (ТЦ ""Мерей"")",250000,,KZT,Алматы,Алматы,43.273092,76.947756,https://hh.ru/employer/910816,"Продавец-консультант, продавец-кассир"
109548253,Директор,300000,800000,KZT,Алматы,Алматы,43.206759,76.895213,https://hh.ru/employer/9996479,Директор по информационным технологиям (CIO)
109548113,Утренний курьер по доставке корреспонденции и товаров для дома,600000,720000,KZT,Алматы,Алматы,,,https://hh.ru/employer/9551760,Другое
109547911,Торговый представитель,350000,350000,KZT,Алматы,Алматы,43.271039670446605,76.79541823316174,https://hh.ru/employer/2983849,Торговый представитель
109547879,Ведущий менеджер поддержки пользователей (Help desk),,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/146547,Специалист технической поддержки
109547829,Менеджер по продажам (выездной менеджер),250000,,KZT,Алматы,Алматы,43.34634,76.900181,https://hh.ru/employer/11360483,"Менеджер по продажам, менеджер по работе с клиентами"
109547816,Шеф-повар,600000,,KZT,Алматы,Алматы,43.225688,76.908868,https://hh.ru/employer/9044399,"Повар, пекарь, кондитер"
109547801,Бухгалтер,300000,350000,KZT,Алматы,Алматы,43.230582,76.946004,https://hh.ru/employer/5712775,Бухгалтер
109547716,Backend-разработчик,,,,Алматы,Алматы,,,https://hh.ru/employer/886609,"Программист, разработчик"
91809195,Врач ультразвуковой диагностики,,,,Алматы,Алматы,43.195232,76.881074,https://hh.ru/employer/599429,Врач
107110811,"Врач-консультант в Медицинский офис (на Мустафина, 11)",,,,Алматы,Алматы,,,https://hh.ru/employer/599429,Врач
109547643,Менеджер по продажам в учебный центр,100000,500000,KZT,Алматы,Алматы,43.309878,76.972882,https://hh.ru/employer/11484862,"Менеджер по продажам, менеджер по работе с клиентами"
109547585,Администратор ресепшен,300000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/10849803,"Секретарь, помощник руководителя, ассистент"
109547576,Врач дерматокосметолог,1000,3000,USD,Алматы,Алматы,43.236027,76.952292,https://hh.ru/employer/1199483,Косметолог
109547535,Воспитатель/педагог дошкольного образования,250000,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2191077,"Учитель, преподаватель, педагог"
109547503,Педагог группы продленного дня,,150000,KZT,Алматы,Алматы,43.239337,76.893156,https://hh.ru/employer/11547851,"Учитель, преподаватель, педагог"
109547400,Швея-портной,100000,700000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2231913,"Швея, портной, закройщик"
109547313,Архитектор (рабочее проектирование),400000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/1465330,Архитектор
109547309,Бухгалтер со знанием ВЭД,400000,500000,KZT,Алматы,Алматы,43.291212,76.947927,https://hh.ru/employer/10605189,Бухгалтер
108714835,Инженер по ИТ в п.Бурундай,,,,Алматы,Алматы,,,https://hh.ru/employer/556582,"Инженер-энергетик, инженер-электрик"
109547249,Старший специалист подключению и сопровождению бизнес-решений,,,,Алматы,Алматы,,,https://hh.ru/employer/135317,Специалист технической поддержки
109547085,Главный бухгалтер с функцией кадрового учета,,,,Алматы,Алматы,,,https://hh.ru/employer/9448255,Бухгалтер
